mode: atomic
stream/main.go:30.13,39.40 1 0
stream/main.go:39.40,41.3 1 0
stream/main.go:44.2,45.16 2 0
stream/main.go:45.16,47.3 1 0
stream/main.go:50.2,51.16 2 0
stream/main.go:51.16,53.3 1 0
stream/main.go:55.2,71.12 7 0
stream/main.go:71.12,75.7 3 0
stream/main.go:75.7,76.11 1 0
stream/main.go:77.20,87.6 3 0
stream/main.go:88.26,89.11 1 0
stream/main.go:94.2,94.12 1 0
stream/main.go:94.12,96.77 2 0
stream/main.go:96.77,98.4 1 0
stream/main.go:102.2,104.36 3 0
stream/main.go:107.30,113.16 4 0
stream/main.go:113.16,114.13 1 0
stream/main.go:117.2,117.18 1 0
stream/main.go:120.45,126.16 3 0
stream/main.go:126.16,128.3 1 0
stream/main.go:131.2,131.57 1 0
stream/main.go:131.57,133.3 1 0
stream/main.go:136.2,137.37 2 0
stream/main.go:137.37,139.3 1 0
stream/main.go:140.2,142.16 2 0
stream/main.go:145.44,156.74 7 0
stream/main.go:156.74,158.3 1 0
stream/main.go:161.2,168.16 3 0
stream/main.go:168.16,170.3 1 0
stream/main.go:173.2,174.16 2 0
stream/main.go:174.16,176.3 1 0
stream/main.go:178.2,178.37 1 0
stream/main.go:178.37,180.3 1 0
stream/main.go:183.2,189.16 5 0
stream/main.go:192.34,200.47 5 0
stream/main.go:200.47,203.56 2 0
stream/main.go:203.56,215.4 2 0
stream/main.go:217.3,217.51 1 0
stream/main.go:217.51,219.4 1 0
stream/main.go:222.2,222.12 1 0
stream/main.go:225.65,279.2 32 0
stream/application/health/handler.go:14.44,16.2 1 0
stream/application/health/handler.go:18.56,20.2 2 0
stream/application/health/handler.go:20.2,23.3 2 0
stream/application/health/handler.go:26.47,30.16 3 0
stream/application/health/handler.go:30.16,37.3 2 0
stream/application/health/handler.go:39.2,43.4 1 0
stream/application/health/handler.go:46.53,54.2 3 0
stream/application/health/repository.go:9.45,11.2 1 0
stream/application/health/repository.go:13.35,15.16 2 0
stream/application/health/repository.go:15.16,17.3 1 0
stream/application/health/repository.go:18.2,18.21 1 0
stream/application/health/service.go:14.71,19.2 1 0
